slug,titulo,ubicacion,codigo,operacion,tipo_inmueble,moneda,precio,descripcion,ambientes,dormitorios,banos,toilettes,garage,cocheras,orientacion,antiguedad,expensas,cubierta_m2,semicubierta_m2,total_m2,terreno_m2,amenities,url,lat,lng
daniel-50-sierra-de-los-padres,Daniel 50 Sierra de los Padres,Sierra de los Padres | Mar del Plata | Bs.As. Costa Atlántica,NAS-205667,Venta,Casa,U$D,179000,"Sólida e impecable propiedad tipo duplex en venta ubicada en una prestigiosa zona de Sierra de los Padres. Con frente a la rotonda de calles Abel y Daniel y a pocas cuadras de la entrada a Sierra, ofrece un estilo de vida inigualable y una hermosa vista del valle.",6,4,2,,Cubierto,2,Este,,,106,55,161,600,"Accesible|Agua corriente|Aire acondicionado|Alumbrado público|Apto crédito|Apto profesional|Cocina|Cordón cuneta|Estacionamiento para visitantes|Forestación|Internet|Parrilla|Pavimento|Piscina|Quincho|Solarium|Toilette",,,
patricia-56-sierra-de-los-padres,Patricia 56,Sierra de los Padres | Mar del Plata | Bs.As. Costa Atlántica,NAS-211296,Venta,Casa,U$D,115000,"Impecable y soñada casa en venta en Sierra de los Padres con gas natural conectado. Casa acogedora y funcional sobre lote de 600 m², con living comedor luminoso, cocina, 1 dormitorio, 1 baño y garaje/quincho semicubierto con parrilla. Emplazada en una calle sin salida muy tranquila, con entorno forestado, posibilidades prácticas de ampliación y excelente estado de mantenimiento.",2,1,1,,Semicubierto,1,Suroeste,,,57,30,87,600,"Accesible|Agua corriente|Alumbrado público|Apto crédito|Apto profesional|Arbolado|Área verde|Caldera|Calefacción|Cocina|Con conexión para lavarropas|Desayunador|Estabilizado de calles|Estacionamiento para visitantes|Forestación|Gas natural|Internet|Jardín|Living comedor|Luz|Ofrece financiación|Parrilla|Placards|Quincho|WiFi|Zona escolar",https://www.nasoarcepropiedades.com.ar/propiedad/211296_impecable-y-sonada-casa-en-venta-en-sierra-de-los-padres-gas-natural-conectado/,-37.958364810252,-57.774239186181
